"sum","Name","Date","Jahr"
1944,"Ost-Süd",2020-01-01,2020
1330,"Ost-Süd",2020-01-02,2020
1988,"Ost-Süd",2020-01-03,2020
1974,"Ost-Süd",2020-01-04,2020
2490,"Ost-Süd",2020-01-05,2020
3149,"Ost-Süd",2020-01-06,2020
3427,"Ost-Süd",2020-01-07,2020
3655,"Ost-Süd",2020-01-08,2020
3756,"Ost-Süd",2020-01-09,2020
3521,"Ost-Süd",2020-01-10,2020
2838,"Ost-Süd",2020-01-11,2020
2732,"Ost-Süd",2020-01-12,2020
3550,"Ost-Süd",2020-01-13,2020
3860,"Ost-Süd",2020-01-14,2020
3958,"Ost-Süd",2020-01-15,2020
3873,"Ost-Süd",2020-01-16,2020
3167,"Ost-Süd",2020-01-17,2020
2888,"Ost-Süd",2020-01-18,2020
2501,"Ost-Süd",2020-01-19,2020
3433,"Ost-Süd",2020-01-20,2020
3633,"Ost-Süd",2020-01-21,2020
3588,"Ost-Süd",2020-01-22,2020
3263,"Ost-Süd",2020-01-23,2020
3197,"Ost-Süd",2020-01-24,2020
2621,"Ost-Süd",2020-01-25,2020
2556,"Ost-Süd",2020-01-26,2020
3319,"Ost-Süd",2020-01-27,2020
2868,"Ost-Süd",2020-01-28,2020
3369,"Ost-Süd",2020-01-29,2020
3428,"Ost-Süd",2020-01-30,2020
3801,"Ost-Süd",2020-01-31,2020
2894,"Ost-Süd",2020-02-01,2020
1885,"Ost-Süd",2020-02-02,2020
2758,"Ost-Süd",2020-02-03,2020
2986,"Ost-Süd",2020-02-04,2020
3623,"Ost-Süd",2020-02-05,2020
3532,"Ost-Süd",2020-02-06,2020
3490,"Ost-Süd",2020-02-07,2020
3002,"Ost-Süd",2020-02-08,2020
2677,"Ost-Süd",2020-02-09,2020
2477,"Ost-Süd",2020-02-10,2020
2646,"Ost-Süd",2020-02-11,2020
3007,"Ost-Süd",2020-02-12,2020
2778,"Ost-Süd",2020-02-13,2020
3222,"Ost-Süd",2020-02-14,2020
3006,"Ost-Süd",2020-02-15,2020
2503,"Ost-Süd",2020-02-16,2020
2533,"Ost-Süd",2020-02-17,2020
3405,"Ost-Süd",2020-02-18,2020
3109,"Ost-Süd",2020-02-19,2020
3722,"Ost-Süd",2020-02-20,2020
3494,"Ost-Süd",2020-02-21,2020
3352,"Ost-Süd",2020-02-22,2020
2814,"Ost-Süd",2020-02-23,2020
3796,"Ost-Süd",2020-02-24,2020
